00000000000000000000000000000000003000000000000000520201004194045000005774Ingreso                            00000608048
00000000000000000000000000000000004000000000000000520201004194058000024u51Retirada                           00000583497
00000000000000000000000000000000005000000000000000520201004194751000999222Ingreso                            00001582719
00000000000000000000000000000000006000000000000000520201004194751000000000Ingreso                            00001582719
00000000000000000000000000000000007000000000000000520201004194829000088u21Transferimos                       00001494198
00000000000000000000000000000000008000000000000000520201004194829000088521Nos transfieren                    00001671240
00000000000000000000000000000000009000000000000000520201004194910000400p24Transferimos                       00001271216
00000000000000000000000000000000010000000000000000520201004194910000400024Nos transfieren                    00002071264
00000000000000000000000000000000011000000000000000520201006164148000020p22Transferimos                       00002051242
00000000000000000000000000000000012000000000000000520201006164148000020022Nos transfieren                    00002091286
00000000000000000000000000000000001000000000000000420201004194045000005774INGRESO INICIAL                    00000795410
00000000000000000000000000000000013000000000000000520201006170458000022p25Transferimos                       00002069261
00000000000000000000000000000000014000000000000000420201006170458000022025Nos transfieren                    00000817435
00000000000000000000000000000000015000000000000000420201006170639000022r22Transferimos                       00000795213
00000000000000000000000000000000016000000000000000520201006170639000022222Nos transfieren                    00002091483
00000000000000000000000000000000017000000000000000420201006170751000032y21Transferimos                       00000762292
00000000000000000000000000000000018000000000000000520201006170751000032921Nos transfieren                    00002124404
00000000000000000000000000000000019000000000000000320201004194045000005774INGRESO INICIAL                    00000248719
00000000000000000000000000000000020000000000000000120201004194045000005774INGRESO INICIAL                    00000550045
00000000000000000000000000000000021000000000000000220201004194045000005774INGRESO INICIAL                    00000665145
00000000000000000000000000000000022000000000000000520201006184639000008000Ingreso                            00002132404
00000000000000000000000000000000023000000000000000520201006185834000008000Ingreso                            00002140404
00000000000000000000000000000000024000000000000000520201006190042000000000Ingreso                            00002140404
00000000000000000000000000000000025000000000000000520201006190042000000000Ingreso                            00002140404
00000000000000000000000000000000026000000000000000520201006190225000008000Ingreso                            00002148404
00000000000000000000000000000000027000000000000000520201006190225000001000Ingreso                            00002149404
00000000000000000000000000000000028000000000000000520201006190225000001000Ingreso                            00002150404
00000000000000000000000000000000029000000000000000520201006190225000001000Ingreso                            00002151404
00000000000000000000000000000000030000000000000000520201006190225000001000Ingreso                            00002152404
00000000000000000000000000000000031000000000000000520201006190225000001000Ingreso                            00002153404
00000000000000000000000000000000032000000000000000520201006190225000001000Ingreso                            00002154404
00000000000000000000000000000000033000000000000000520201006190446000001000Ingreso                            00002155404
00000000000000000000000000000000034000000000000000520201006190456000008000Ingreso                            00002163404
00000000000000000000000000000000035000000000000000520201006193902000125p25Retirada                           00002038379
00000000000000000000000000000000036000000000000000520201006193915000030000Ingreso                            00002068379
00000000000000000000000000000000037000000000000000520201006194008000001000Ingreso                            00002069379
00000000000000000000000000000000038000000000000000520201006194525000100p00Retirada                           00001969379
00000000000000000000000000000000039000000000000000520201006194602000010p10Transferimos                       00001959369
00000000000000000000000000000000040000000000000000220201006194602000010010Nos transfieren                    00000675155
